lens_id,name,graphic_dia,per_package,price,review_cnt,bc,dia,per,url,product_image,demonstration_image
221,I-DOL J 1년용 Sugar Brown,,1,15965,8,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-j-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/j-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/lp.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/sb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg-1.jpg']"
222,I-DOL J 1년용 Tear Gray,,1,15965,8,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-j-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/j-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/lp.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/sb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg-1.jpg']"
223,I-DOL Seattle 2 1년용 Cool Gray,,1,15965,6,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-seattle-2-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/seattle2-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/cg.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/hb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/mb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg.jpg']"
224,I-DOL Seattle 2 1년용 Honey Brown,,1,15965,6,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-seattle-2-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/seattle2-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/cg.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/hb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/mb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg.jpg']"
225,I-DOL Seattle 2 1년용 Marine Blue,,1,15965,6,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-seattle-2-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/seattle2-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/cg.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/hb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/mb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg.jpg']"
226,I-DOL Seattle 2 1년용 Tropical Green,,1,15965,6,8.6,14,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/i-dol-seattle-2-1%eb%85%84%ec%9a%a9-2%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/seattle2-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/cg.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/hb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/mb.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/tg.jpg']"
227,Ever Color 1 Day Moist Label (Sweet Luxe),,10,24195,11,8.7,14.5,"[0.0, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0]",https://www.lensgogo.com/shop/ever-color-1-day-moist-label-sweet-luxe/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/02/evercolormoistlabel-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/02/4547683003547_2.png']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/02/evercolor-1day-moist-label-colors.jpg']
228,쿠퍼비전 바이오피니티 멀티포컬,,6,92379,16,8.6,14,"[-0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0]",https://www.lensgogo.com/shop/biofinity-multifocal/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/biofinitymulti-1-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/biofinitymulti-510x510.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/biofinity_multifocal6_side.jpg']
229,아큐브 비타 난시렌즈 (도수 0 ~ -6.0 까지),,6,48000,12,8.6,14.5,"[0.0, -0.25, -0.5, -0.75, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0]",https://www.lensgogo.com/shop/acuvuevita-toric/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/vitatoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/acuvue-vita-astigmatism-side.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/vitatoricside.jpg']
230,클라렌 아스트라 Glitter,,30,36050,12,8.6,14.2,"[0.0, -1.0, -1.25, -1.5, -1.75, -2.0, -2.25, -2.5, -2.75, -3.0, -3.25, -3.5, -3.75, -4.0, -4.25, -4.5, -4.75, -5.0, -5.25, -5.5, -5.75, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0]",https://www.lensgogo.com/shop/%ed%81%b4%eb%9d%bc%eb%a0%8c-%ec%95%84%ec%8a%a4%ed%8a%b8%eb%9d%bc-glitter-30%ea%b0%9c%eb%93%a4%ec%9d%b4/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/clalenglitter-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/gliiter-1.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/gliiter-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/04/gliiter-3.jpg']"
