name,perPackage,price,reviewCnt,bc,dia,pwr,url,productImage,demonstrationImage
LENSTOWN Aqua Bling 3개월용 (2가지색) ,1,13000,2,8.6,14,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/lenstown-aqua-bling/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Aqua-Blue-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Shine-Gray-2.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Aqua-Blue-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Aqua-Blue-3.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Shine-Gray-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Aqua-Bling-Shine-Gray-3.jpg']"
LENSTOWN Lighly Rose (3가지색) ,30,50000,0,8.6,14.2,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/lenstown-lighly-rose/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lighlyrose-510x500.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-rose-beige-1-800x800.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-rose-gray-1-800x800.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-rose-1-800x800.jpg']"
아큐브 2 (BC 8.7)  (2주착용),6,21500,0,8.7,14,"['-0.25', '-0.5', '-0.75', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.25', '-5.5', '-5.75', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0', '-8.5', '-9.0', '-9.5', '-10.0', '-10.5', '-11', '-11.5', '-12']",https://www.lensgogo.com/shop/acuvue2-2/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/acuvue2-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/acuvue_2_1090_1.png']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/acuvue_2_1090_1-280x280.png']
데일리스 아쿠아 컴포트 플러스 난시 (도수 -6.5 ~ -8.0 까지) (토릭) ,90,79500,0,8.8,14.4,"['-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/aquacomfort-toric90-2/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/aquatoric-90-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/comfort-toric90-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/2341.png']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/comfort-toric90-2.jpg']
데일리스 아쿠아 컴포트 플러스 난시 (+ 도수상품) (토릭) ,30,28500,0,8.8,14.4,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/aquacomfort-toricplus/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/dailiestoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/2341.png']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/images.jpg']
데일리스 토탈원 워터렌즈 멀티포컬 ,30,52500,0,8.5,14.1,"['(+)6.0', '(+)5.75', '(+)5.5', '(+)5.25', '(+)5.0', '(+)4.75', '(+)4.5', '(+)4.25', '(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25', '0', '-0.25', '-0.5', '-0.75', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.25', '-5.5', '-5.75', '-6.0', '-6.25', '-6.5', '-6.75', '-7.0', '-7.25', '-7.5', '-7.75', '-8.0', '-8.25', '-8.5', '-8.75', '-9.0', '-9.5', '-10.0']",https://www.lensgogo.com/shop/total1-multi-30/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/total1multi-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/total-1-multifocal.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Total-1-Multifocal-Power.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/1516696898524.jpg']"
LENSTOWN Lighly Modern (2가지색) ,20,42000,0,8.7,14.2,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/lenstown-lighly-modern/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/moderngray-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/modernbrown-510x510.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-modern-brown-1-800x800.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-modern-gray-1-727x800.jpg']"
LENSTOWN Lighly Mellow (3가지색) ,20,42000,0,8.8,14.3,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/lenstown-lighly-mellow/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/LighlyMellow-04_grande-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-brown-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-brown-3.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-gray-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-gray-3.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-pink-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lenstown-lighly-mellow-pink-3.jpg']"
Karacon CHIC! CHIC! UV Moist 1일용 (3가지색) ,10,23500,0,8.6,14.1,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/karacon-chicchicuv/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/chicchicmoist-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-latte-brown.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-1920-3Lens_02-1400x627.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-mocha-brown.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-1920-3Lens_03-1400x741.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-peach-brown.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/CHIC-UV1day-1920-3Lens_04-1400x650.jpg']"
데일리스 아쿠아 컴포트 플러스 난시 (+ 도수상품) (토릭) ,90,79500,0,8.8,14.4,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/aquacomfort-toric90-plus/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/aquatoric-90-1-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/comfort-toric90-2.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/2341.png']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/comfort-toric90-2.jpg']
아큐브 비타 난시렌즈 (+ 도수상품)  (한달착용),6,48000,0,8.6,14.5,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/acuvuevita-toricplus/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/vitatoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/acuvue-vita-astigmatism-side.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/vitatoricside.jpg']
바슈롬 바이오트루 난시 CYL -2.25 (+ 도수상품) ,30,37908,0,8_4,14.5,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/biotrue-toric-5/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/biotruetoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2019/05/biotruea.jpg']",['https://cdn.lensgogo.com/wp-content/uploads/2017/11/bio_true_presbyopia_2364.png']
바슈롬 바이오트루 난시 (+ 도수상품) ,30,37908,0,8_4,14.5,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/biotrue-toric-3/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/biotruetoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2019/05/biotruea.jpg']",['https://cdn.lensgogo.com/wp-content/uploads/2017/11/bio_true_presbyopia_2364.png']
아큐브 오아시스 원데이 난시 렌즈 (토릭) (+ 도수상품) ,30,43000,0,8.5,14.3,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/oasys-toric-2/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/oasys1daytoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/10/oasys30astig-510x510.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/11/acuvue-oasys-for-astigmatism-blister786-131.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/17oasys_cnt01.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/17oasys_cnt02.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/17oasys_cnt04.png']"
데일리스 아쿠아 컴포트 플러스 멀티포컬 ,90,91500,0,8.7,14,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25', '0', '-0.25', '-0.5', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.25', '-5.5', '-5.75', '-6.0', '-6.25', '-6.5', '-6.75', '-7.0', '-7.25', '-7.5', '-7.75', '-8.0', '-8.25', '-8.5', '-8.75', '-9.0']",https://www.lensgogo.com/shop/comfort-multi-90/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/aquamulti90-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/dailies-aquacomfort-plus-30-multifocal_rx_productPageLargeRWD__12384.1504085867-510x357.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/dailies-aquacomfort-plus-30-multifocal_rx_productPageLargeRWD__12384.1504085867-1144x800.jpg']
데일리스 토탈원 워터렌즈 멀티포컬 ,90,129500,0,8.5,14.1,"['(+)6.0', '(+)5.75', '(+)5.5', '(+)5.25', '(+)5.0', '(+)4.75', '(+)4.5', '(+)4.25', '(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25', '0', '-0.25', '-0.5', '-0.75', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.25', '-5.5', '-5.75', '-6.0', '-6.25', '-6.5', '-6.75', '-7.0', '-7.25', '-7.5', '-7.75', '-8.0', '-8.25', '-8.5', '-8.75', '-9.0', '-9.5', '-10.0']",https://www.lensgogo.com/shop/total1-multi-90/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/total190multi-560280-510x255.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/total190-2-510x232.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/total190-2.jpg']
원데이 아큐브 모이스트 난시 렌즈 (토릭) (+ 도수상품) ,30,34000,0,8.5,14.5,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/acuvue-moisttoric-plus/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/10/moisttoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/10/moistastigmatism-510x510.jpg']","['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2017/04/moist-toric.png', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/07/Generic_upp_Shelfpage_banner.png']"
쿠퍼비전 클래리티 난시렌즈 (토릭) (+ 도수상품) ,30,39591,0,8.6,14.3,"['(+)4.0', '(+)3.75', '(+)3.5', '(+)3.25', '(+)3.0', '(+)2.75', '(+)2.5', '(+)2.25', '(+)2.0', '(+)1.75', '(+)1.5', '(+)1.25', '(+)1.0', '(+)0.75', '(+)0.5', '(+)0.25']",https://www.lensgogo.com/shop/clariti-toricplus/,"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/clarititoric-510x510.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/Clariti-510x510.jpg']",['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2018/08/clariti1day-toric-blister786-1311074-136.jpg']
LENSTOWN Lighly Pastel (3가지색) ,20,42000,0,8.8,14.3,"['0.0', '-1.0', '-1.25', '-1.5', '-1.75', '-2.0', '-2.25', '-2.5', '-2.75', '-3.0', '-3.25', '-3.5', '-3.75', '-4.0', '-4.25', '-4.5', '-4.75', '-5.0', '-5.5', '-6.0', '-6.5', '-7.0', '-7.5', '-8.0']",https://www.lensgogo.com/shop/lenstown-lighly-pastel/,['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/lighlypastel-510x510.jpg'],"['https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Lighly-Pastel-Brown-2-729x800.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Lighly-Pastel-Gray-2-734x800.jpg', 'https://d3w2op3lb880hy.cloudfront.net/wp-content/uploads/2020/05/Lenstown-Lighly-Pastel-Pink-2-734x800.jpg']"
